ProductKey	Product	Standard Cost	Color	Subcategory	Category	Background Color Format	Font Color Format
 52	$181.49	Red	Road Frames	Components	#FF0000	#FFFFFF
""
 L	$3.36	White	Socks	Clothing	#FFFFFF	#000000
 48	$352.14	Red	Road Frames	Components	#FF0000	#FFFFFF
  48	$170.14	Black	Road Frames	Components	#000000	#FFFFFF 
 46	$601.74	Blue	Touring Frames	Components	#0000FF	#FFFFFF
  40	$136.79	Black	Mountain Frames	Components	#000000	#FFFFFF 
 44	$461.44	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
 38	$739.04	Black	Mountain Frames	Components	#000000	#FFFFFF
 62	$204.63	Black	Road Frames	Components	#000000	#FFFFFF
 60	$601.74	Blue	Touring Frames	Components	#0000FF	#FFFFFF
 44	$884.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
 44	$722.26	Red	Road Frames	Components	#FF0000	#FFFFFF
""
 48	$868.63	Red	Road Frames	Components	#FF0000	#FFFFFF
 44	$170.14	Black	Road Frames	Components	#000000	#FFFFFF
""
 M	$26.18	Black	Shorts	Clothing	#000000	#FFFFFF
 48	$868.63	Black	Road Frames	Components	#000000	#FFFFFF
  L	$26.18	Black	Shorts	Clothing	#000000	#FFFFFF 
 44	$199.85	Yellow	Touring Frames	Components	#FFFF00	#000000
 40	$360.94	Yellow	Road Frames	Components	#FFFF00	#000000
""
""
 62	$199.85	Yellow	Touring Frames	Components	#FFFF00	#000000
 44	$199.85	Blue	Touring Frames	Components	#0000FF	#FFFFFF
 52	$144.59	Silver	Mountain Frames	Components	#C0C0C0	#000000
""
""
 48	$204.63	Black	Road Frames	Components	#000000	#FFFFFF
 52	$486.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF
""
 38	$653.7	Black	Mountain Frames	Components	#000000	#FFFFFF
 46	$747.2	Silver	Mountain Frames	Components	#C0C0C0	#000000
 50	$601.74	Blue	Touring Frames	Components	#0000FF	#FFFFFF
 46	$617.03	Black	Mountain Frames	Components	#000000	#FFFFFF
""
""
 38	$713.08	Yellow	Road Bikes	Bikes	#FFFF00	#000000
""
 44	$170.14	Black	Road Frames	Components	#000000	#FFFFFF
 48	$605.65	Yellow	Road Bikes	Bikes	#FFFF00	#000000
""
  46	$747.2	Silver	Mountain Frames	Components	#C0C0C0	#000000 
""
""
  60	$486.71	Red	Road Bikes	Bikes	#FF0000	#FFFFFF 
""
 52	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF
""
""
 62	$461.44	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
 52	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF
""
""
 56	$722.26	Red	Road Fraems	Components	#FF0000	#FFFFFF
 48	$699.09	Black	Mountain Frames	Components	#000000	#FFFFFF
""
 M	$38.49	Multi	Jerseys	Clothing	#BC8F8F	#000000
 62	$187.16	Red	Road Frames	Components	#FF0000	#FFFFFF
 48	$722.26	Red	Road Frames	Components	#FF0000	#FFFFFF
 52	$722.26	Red	Road Frames	Components	#FF0000	#FFFFFF
 L	$29.08	Multi	Jerseys	Clothing	#BC8F8F	#000000
""
 48	$176.2	Black	Road Frames	Components	#000000	#FFFFFF
 58	$176.2	Black	Road Frames	Components	#000000	#FFFFFF
 40	$713.08	Yellow	Road Bikes	Bikes	#FFFF00	#000000
 44	$713.08	Yellow	Road Bikes	Bikes	#FFFF00	#000000
