SalesTerritoryKey	Region	Country	Group
8	Germany	Germany	Europe
4	Southwest	United States	North America
8	Germany	Germany	Europe
5	Southeast	United States	North America
 4	Southwest	United States	North America 
7	France	France	Europe
 7	France	France	Europe 
4	Southwest	United States	North America
 2	Northeast	United States	North America 
3	Central	United States	North America
7	France	France	Europe
7	France	France	Eurpoe
5	Southeast	United States	North America
6	Canada	Canada	North Ameriac
8	Germany	Germany	Europe
10	United Kingdom	United Kingodm	Europe
3	Central	United States	North America
7	France	France	Europe
6	Canada	Canada	North America
1	Northwest	United States	North America
7	France	France	Europe
6	Canada	Canada	North America
8	Germany	Germany	Europe
6	Canada	Canada	North America
8	Germany	Germany	Europe
7	France	France	Europe
2	Northeast	United States	North America
6	Canada	Canada	North America
""
10	United Kingdom	United Kingdom	Europe
8	Germany	Germany	Europe
""
6	Canada	Canada	North America
6	Canada	Canada	North America
5	Southeats	United States	North America
10	United Kingdom	United Kingdom	Europe
""
3	Centrla	United States	North America
5	Southeast	United States	North America
""
9	Australia	Australia	Pacific
4	Southwest	United States	North America
6	Canada	Canada	North America
 9	Australia	Australia	Pacific 
1	Northwest	United States	North America
""
6	Canada	Canada	North Amreica
""
10	United Kingdom	United Kingdom	Europe
4	Southwest	United States	North America
1	Northwest	United States	North America
""
6	Canada	Canada	North America
8	Germany	Germany	Europe
8	Germany	Germany	Europe
9	Australia	Australia	Pacific
""
5	Southeast	United States	North America
4	Southwest	United States	North America
2	Northeast	United States	North America
3	Central	United States	North America
5	Southeast	United States	North America
8	Germany	Germany	Europe
2	Northeast	United States	North America
5	Southeast	United States	North America
2	Northeast	Unite dStates	North America
2	Northaest	United States	North America
9	Australia	Australia	Pacific
2	Northeast	United States	North America
7	France	France	Europe
3	Central	United States	North America
""
8	Germany	Germany	Europe
4	Southwest	United States	North America
1	Northwest	United States	North America
5	Southeast	United States	North America
1	Northwest	United States	North America
5	Southeast	United States	North America
2	Northeast	United States	North America
5	Southeast	United States	North America
3	Central	United States	North America
4	Southwest	United States	North America
 8	Germany	Germany	Europe 
5	Southeast	United States	North America
""
8	Germany	Germany	Europe
9	Australai	Australia	Pacific
4	Southwest	United States	North America
8	Germany	Germany	Europe
9	Australia	Australia	Pacific
2	Northeast	United States	North America
4	Southwest	United States	North America
5	Southeast	United States	North America
2	Northeast	United States	North America
3	Central	United States	North America
1	Northwest	United States	North America
5	Southeast	United States	North America
7	France	France	Europe
1	Northwest	United States	North America
7	France	France	Europe
2	Northeast	United States	North America
5	Southeast	United States	North America
1	Northwest	United States	North America
10	United Kingdom	United Kingdom	Europe
8	Germany	Germany	Europe
