ResellerKey	Business Type	Reseller	City	State-Province	Country-Region
375	Warehouse	Region Bike Company	East Brisbane	Queensland	Australia
610	Specialty Bike Shop	Fitness Department Stores	Scottsdale	Arizona	United States
356	Specialty Bike Shop	Speedometer Sales	Hamburg	Hessen	Germany
695	Specialty Bike Shop	Responsible Bike Dealers	Kansas City	Missouri	United States
111	Specialty Bike Shop	Westside Cycle Store	Elgin	Illinois	United States
508	Warehouse	Designer Department Stores	Hillsboro	Texas	United States
504	Specialty Bike Shop	Historic Bicycle Sales	Redford	Michigan	United States
 481	Warehouse	Getaway Inn	Saint Ouen	Loir et Cher	France 
24	Warehouse	Eastside Department Store	Union City	California	United States
655	Value Added Reseller	Operational Manufacturing	Dorval	uQebec	Canada
363	Warehouse	Immense Manufacturing Company	Saint Ann	Missouri	United States
""
""
73	Value Added Reseller	Outdoor Sports Supply	North Bend	Washington	United States
350	Specialty Bike Shop	Mountain Emporium	Nashville	Tennessee	United States
206	Value Added Reseller	New and Used Bicycles	Winston-Salem	North Carolina	United States
45	Warehouse	Every Bike Shop	La Vergne	Tennessee	United States
254	Warehouse	Safe Cycles Shop	Bellevue	Washington	United States
 25	Value Added Reseller	Coalition Bike Company	El Segundo	Californai	United States 
689	Specialty Bike Shop	Consumer Equipment	London	England	United Kingdom
21	Warehouse	Chic Department Stores	Irving	Texas	United States
100	Value Added Reseller	Up-To-Date Sports	Markham	Ontario	Canada
""
689	Specialty Bike Shop	Consumer Equipment	London	England	United Kingdom
271	Specialty Bike Shop	Alternative Vehicles	Washougal	Washington	United States
301	Specialty Bike Shop	Rural Mountain Bike Mart	Paris	Seine (Paris)	France
597	Value Added Reseller	All Seasons Sports Supply	Houston	TexasU	nited States
696	Warehouse	Roadway Supplies	Riverton	Utah	United States
323	Warehouse	Metro Bike Works	Detroit	Michigan	United States
70	Value Added Reseller	Outdoor Aerobic Systems Company	London	England	United Kingdom
200	Value Added Reseller	Basic Bike Company	Port Orchard	Washington	United States
480	Specialty Bike Shop	General Bike Corporation	Mississauga	Ontario	Canada
674	Specialty Bike Shop	Discount Tours	Daly City	California	United States
479	Value Added Reseller	General Supplies	Ville De'anjou	Quebec	Canada
193	Warehouse	Perfect Toys	Colomiers	Garonne (Haute)	France
75	Warehouse	Paint Supply	Garland	Texas	United States
372	Warehouse	Top Bike Market	Kingston	Ontario	Canada
""
195	Specialty Bike Shop	Inexpensive Parts Shop	North Sydney	New South Wales	Australia
481	Warehouse	Getaway Inn	Saint Ouen	Loir et Cher	France
693	Warehouse	Stock Parts and Supplies	Hillsboro	Oregon	United States
416	Specialty Bike Shop	Impromptu Trips	Union Gap	Washington	United States
41	Specialty Bike Shop	Distant Inn	Milpitas	California	United States
