SalesOrderNumber	OrderDate	ProductKey	ResellerKey	EmployeeKey	SalesTerritoryKey	Quantity	Unit Price	Sales	Cost
 2019	231	611	285	5	11	$28.99	$318.89	$423.42
""
 2019	434	649	282	4	1	$356.9	$356.9	$360.94
 2019	458	66	284	6	2	$44.99	$89.98	$61.87
 2018	236	24	282	4	9	$28.84	$259.56	$261.73
 2019	554	275	272	4	1	$54.94	$54.94	$40.66
 2019	445	475	282	4	2	$35.99	$71.98	$49.49
 2018	464	496	291	6	7	$14.13	$98.91	$68
 2019	214	680	292	7	3	$20.99	$62.97	$39.26
 2020	556	650	282	1	2	$105.29	$210.58	$155.84
 2018	230	418	283	36		$28.84	$173.04	$174.48
  2019	525	10	291	6	3	$158.43	$475.29	$433.78 
 2019	339	426	284	6	1	$469.79	$469.79	$486.71
 2018	435	66	284	6	1	$324.45	$324.45	$300.12
 2017	212	20	3287	4	1	$20.19	$20.19	$12.03
 2018	296	118	288	6	1	$714.7	$714.7	$617.03
 2018	327	481	292	7	1	$469.79	$469.79	$486.71
 2018	280	72	281	2	2	$183.94	$367.88	$340.29
 2018	410	67	8291	6	1	$36.45	$36.45	$26.97
 2019	543	476	285	5	3	$37.25	$111.75	$82.7
 2019	222	290	289	1	7	$15.75	$110.25	$91.6
 2019	456	127	293	1	9	$44.99	$404.91	$278.4
 2019	213	173	291	6	1	$20.19	$20.19	$13.88
 2020	544	594	283	2	2	$48.59	$97.18	$71.92
 2018	469	252	272	2	4	$22.79	$91.16	$62.68
 2017	220	206	285	5	3	$20.19	$60.57	$36.08
 2019	606	344	289	1	1	$323.99	$323.99	$343.65
 2019	467	290	289	1	7	$14.69	$102.83	$64.12
 2018	223	309	283	4	1	$5.19	$5.19	$5.71
 2019	428	678	291	6	2	$209.26	$418.52	$371.64
 2019	457	535	292	7	1	$44.99	$44.99	$30.93
 2019	214	20	289	1	1	$20.99	$20.99	$13.09
 2019	233	173	291	6	3	$28.84	$86.52	$87.24
 2019	231	84	284	6	12	$28.99	$347.88	$461.91
 2019	457	24	282	4	9	$44.99	$404.91	$278.4
""
 2018	453	173	291	6	5	$35.99	$179.95	$123.73
 2019	399	312	282	4	2	$33.77	$67.54	$49.99
 2019	213	533	291	6	2	$20.19	$40.38	$27.76
""
 2018	218	119	288	6	6	$5.7	$34.2	$20.38
 2019	545	235	293	1	2	$24.29	$48.58	$35.96
 2019	448	514	291	6	4	$11.99	$47.96	$32.98
 2018	415	167	287	4	3	$198.04	$594.12	$439.64
 2018	330	418	283	3	1	$419.46	$419.46	$413.15
""
 2018	289	435	283	4	1	$744.27	$744.27	$660.91
 2019	240	561	281	4	1	$858.9	$858.9	$868.63
 2018	419	197	281	3	2	$52.65	$105.3	$77.92
  2018	397	146	289	1	4	$24.29	$97.16	$71.91 
 2020	398	632	292	7	4	$26.72	$106.88	$79.1
 2019	558	175	292		73	$242.99	$728.97	$539.45
 2018	422	210	284	6	1	$67.54	$67.54	$94.98
 2018	325	107	272	2	2	$469.79	$939.58	$973.41
 2019	524	475	282	4	2	$158.43$	316.86	$289.19
 2018	224	514	291	6	10	$5.19	$51.9	$52.3
 2019	456	130	281	4	6	$44.99	$269.94	$185.6
 2019	420	653	291	6	1	$141.62	$141.62	$104.8
 2018	454	523	282	3	2	$35.99	$71.98	$49.49
""
 2020	484	599	287	4	6	$4.77	$28.62	$17.84
 2018	421	653	291	6	4	$196.33	$785.32	$581.13
 2019	436	523	282	3	1	$356.9	$356.	9$360.94
 2019	409	484	288	10	3	$209.26	$627.78	$557.46
 2019	294	236	289	1	1	$744.27	$744.27	$660.91
 2020	568	230	295	8	2	$445.41	$890.82	$9228.9
 2020	483	662	292	7	3	$72	$216	$134.64
 2020	558	573	296	9	2	$242.99	$845.98	$359.63
""
 2018	428	422	285	5	1	$209.26	$209.26	$185.82
 2018	221	649	282	4	1	$20.19	$20.19	$13.88
 2019	222	605	286	1	6	$20.99	$125.94	$78.52
 2019	472	433	272	1	6	$38.1	$228.6	$142.49
 2018	300	578	289	1	1	$809.76	$809.76	$699.09
 2019	463	266	295	8	6	$14.69	$88.14	$54.96
 2019	496	616	296	9	1	$602.35	$602.35	$601.74
""
 2018	223	240	282	4	3	$5.19	$15.57	$17.12
 2020	481	310	281	3	3	$5.39	$16.17	$10.09
2 019	482	310	281	3	6	$5.39	$32.34	$20.17
 2019	470	119	291	6	7	$22.79	$159.53	$109.7
""
 2019	460	139	292	7	2	$53.99	$107.98	$74.24
 2018	221	78	282	4	10	$20.19	$201.9	$138.78
 2019	477	266	290	8	16	$2.74	$43.84	$29.86
 2019	487	605	286	1	11	$31.89	$350.79	$226.23
""
 2018	230	546	282	3	6	$28.84	$173.04	$174.48
 2020	523	260	285	5	2	$31.58	$63.16	$46.74
 2020	400	496	291	6	3	$37.15	$111.45	$82.48
 2019	477	1202	84	6	5	$2.99	$14.95	$9.33
 2018	218	492	282	4	2	$5.7	$11.4	$6.79
 2020	558	179	283	2	2	$242.99	$485.98	$359.63
 2019	597	687	295	8	1	$323.99	$323.99	$294.58
 2019	224	234	283	2	2	$5.19	$10.38	$10.46
 2017	229	293	287	1	2	$28.84	$57.68	$63.45
 2019	476	380	289	1	3	$4.199	$125.97	$78.53
  2017	322	403	282	4	1	$419.46	$419.46	$413.15 
  2018	285	143	281	2	1	$178.58	$178.58	$176.2 
 2019	465	233	283	2	8	$14.69	$117.52	$73.27
 2018	334	569	288	6	2	$419.46	$838.92	$826.29
 2020	484	90	283	5	4	$4.77	$19.08	$11.89
""
""
 2020	471	302	295	8	8	$38.1	$304.8	$189.99
 2020	475	421	272	4	2	$41.99	$83.98	$52.35
 2019	552	187	282	4	4	$54.89	$219.56	$162.49
 2020	568	266	295	8	2	$445.41	$890.82	$922.89
 2018	328	273	283	4	1	$419.46	$419.46	$413.15
 2019	483	2352	93	1	2	$72	$144	$89.76
 2019	39	8542	286	1	2	$26.72	$53.44	$39.55
 2020	591	9	285	5	1	$113	$113	$308.22
 2019	213	309	281	4	8	$20.19	$161.52	$111.03
 2018	410	207	285	5	3	$36.45	$109.35	$80.91
""
 2018	224	78	282		49	$5.19	$46.71	$47.07
 2018	448	72	281	2	3	$11.99	$35.97	$24.47
 2019	240	299	291	6	1	$858.9	$858.9	$868.63
""
 2019	422	651	285	5	1	$67.54	$67.54	$49.98
 2019	404	84	284	6	2	$26.72	$53.44	$39.55
 2018	335	660	281	3	2	$469.79	$939.58	$973.41
 2020	237	414	283	2	6	$29.99	$179.94	$230.95
 2020	436	257	287	4	2	$356.9	$713.8	$721.89
 2019	234	475	282	4	7	$29.99	$209.93	$269.45
 2018	461	566	285	5	6	$53.99	$323.94	$222.73
 2018	323	495	285	5	1	$469.79	$469.79	$486.71
  2019	463	678	272	6	14	$14.2	$198.8	$128.23 
 2019	459	221	287	4	2	$53.99	$107.98	$74.24
 2017	220	678	288	6	10	$20.19	$201.9	$120.28
  2018	325	15	6284	6	2	$469.79	$939.58	$973.41 
 2019	532	125	283	2	3	$149.87	$449.61	$410.36
 2019	484	156	284	6	3	$4.77	$14.31	$8.29
 2019	487	328	281	4	5	$32.99	$164.95	$102.83
 2019	484	327	281	3	5	$4.77	$23.85	$14.87
 2020	499	693	289	1	1	$602.35	$602.35	$601.74
 2018	220	173	288	6	2	$20.19	$40.38	$24.06
 2020	434	426	284	6	2	$356.9	$713.8	$721.89
 2019	521	64	291	6	1	$16.27	$16.27	$12.04
 2019	433	16	290	10	1	$324.45	$324.45	$300.12
""
 2018	422	433	286	1	3	$67.54	$202.62	$149.94
 2019	385	558	283	2	1	$600.26	$600.26	$605.65
""
 2017	223	114	282	4	1	$5.19	$5.19	$5.71
 2019	487	216	283	2	5	$32.99	$164.95	$102.83
 2020	606	258	282	4	1	$323.99	$323.99	$343.65
 2018	275	57	283	3	1	$356.9	$356.9	$352.14
 2019	545	431	283	3	3	$24.29	$72.87	$53.93
  2020	484	670	281	3	5	$4.77	$23.85	$14.87 
 2020	544	414	283	2	2	$48.59	$97.18	$71.92
 2018	280	102	284	6	4	$183.94	$735.76	$680.57
 2020	222	592	288	10	4	$20.99	$83.96	$52.35
 2019	546	12	284	6	3	$37.25	$111.75	$82.7
 2018	267	575	281	2	3	$202.33	$606.99	$561.47
 2019	214	618	283	2	6	$15.75	$94.5	$78.52
 2017	218	354	284	6	4	$5.7	$22.8	$13.59
 2019	491	156	284	6	6	$32.39	$194.34	$249.43
 2018	417	512	285	5	2	$324.45	$648.9	$600.24
 2019	475	442	291	6	2	$41.99	$83.98	$52.35
 2019	329	221	287	4	2	$469.79	$939.58	$973.41
 2019	335	670	281	3	2	$469.79	$939.58	$973.41
 2020	524	496	291	6	6	$158.43	$950.58	$867.56
 2020	477	535	292	7	13	$2.89	$37.57	$24.26
""
 2019	554	52	288	10	2	$54.94	$109.88	$81.31
 2019	545	313	282	4	2	$24.29	$48.58	$3.596
 2019	459	127	293	1	3	$53.99	$161.97	$111.36
 2018	414	666	281	2	2	$149.03	$298.06	$220.57
 2019	236	175	292	7	7	$28.84	$201.88	$203.56
 2020	493	599	287	4	2	$200.05	$400.1	$399.7
 2020	531	309	272	4	1	$149.87	$149.87	$136.79
 2018	230	184	283	4	7	$28.84	$201.88	$203.56
 2020	471	84	284	6	8	$38.1	$304.8	$189.99
 2018	461	61	282	4	3	$53.99	$161.97	$111.36
 2019	472	408	284	6	8	$38.1	$304.8	$189.99
 2017	316	273	283	4	1	$874.79	$874.79	$884.71
 2019	428	184	281	4	1	$209.26	$209.26	$185.82
 2018	39	7608	287	4	8	$24.29	$194.32	$143.82
 2018	417	433	286	1	1	$324.45	$324.45	$300.12
 2019	533	18	2833		3	$149.87	$449.61	$410.36
 2020	551	676	285	5	1	$158.43	$158.43	$144.59
""
 2017	223	187	282	4	2	$5.19	$10.38	$11.41
 2018	235	84	284	6	8	$28.84	$230.72	$253.8
 2019	225	660	283	3	18	$4.94	$88.92	$124.6
 2019	521	308	289	1	1	$16.27	$16.27	$12.04
 2019	525	496	291	6	3	$158.43	$475.29	$433.78
 2019	395	475	282	4	4	$61.37	$245.48	$181.67
 2018	323	258	282	4	2	$469.79	$939.58	$973.41
""
 2018	428	197	281	3	3	$209.26	$627.78	$557.46
 2018	456	78	282	4	4	$44.99	$179.96	$123.73
""
 2018	395	608	287	4	9	$61.37	$552.33	$408.75
""
 2019	532	437	287	4	3	$149.87	$449.61	$410.36
 2019	555	338	295	8	1	$63.9	$63.9	$47.29
 2020	523	260	285	5	1	$31.58	$31.58	$23.37
 2018	216	484	290	10	2	$20.19	$40.38	$27.76
 2019	395	18	283	3	6	$61.37	3$68.22	$272.5
 2019	517	685	284	6	2	$31.58	$63.16	$46.74
 2019	498	199	293	1	1	$602.35	$602.35	$601.74
 2019	596	685	284	6	1	$323.99	$323.99	$294.58
 2018	458	677	291	6	5	$44.99	$224.95	$154.67
 2019	393	345	281	4	4	$137.69	$550.76	$407.57
 2020	388	579	281	3	1	$672.29	$672.29	$713.08
 2019	295	687	295	8	1	$818.7	$818.7$	747.2
 2019	287	54	283	2	2	$202.33	$404.66	$409.25
 2020	567	110	286	1	1	$445.41	$445.41	$461.44
 2020	471	90	283	5	12	$36.83	$441.96	$284.99
 2019	592	118	291	6	2	$338.99	$677.98	$616.44
 2019	491	84	284	6	3	$32.39	$97.17	$124.72
