EmployeeKey	SalesTerritoryKey
""
272	1
277	4
272	6
277	9
277	9
293	1
289	1
281	5
290	10
277	8
""
277	10
28	46
28	33
277	1
277	8
277	6
277	9
 282	3 
292	7
281	3
""
290	8
277	4
291	10
""
277	4
289	1
""
286	4
282	3
272	2
921	7
291	7
821	2
285	5
27	72
""
286	4
""
281	2
277	8
290	7
288	6
277	6
272	5
277	6
""
283	3
291	10
290	10
282	4
272	5
281	2
277	4
272	3
""
272	6
277	9
286	4
294	9
290	7
277	10
272	4
288	6
294	9
282	4
277	7
281	3
290	7
239	1
268	1
727	9
284	6
277	8
290	7
289	1
277	5
277	5
259	8
281	2
294	9
281	5
292	7
277	5
281	3
291	7
290	7
 277	8 
 27	71 
29	17
277	3
272	3
""
272	5
277	7
""
""
277	10
290	7
290	10
277	2
291	10
285	5
""
277	3
""
291	7
277	5
""
926	9
295	8
295	8
2917	
277	7
293	1
293	1
272	6
277	2
292	7
286	1
277	5
2824	
277	5
""
277	8
""
281	3
""
272	2
283	3
277	3
290	7
290	8
277	1
277	5
288	6
281	2
289	1
292	7
290	10
291	10
282	3
2855	
286	4
287	4
29	08
288	6
277	2
281	3
281	3
296	9
272	6
287	4
292	7
292	7
277	4
277	5
277	9
""
286	1
""
288	6
288	6
277	8
272	6
272	6
272	2
284	6
296	9
286	1
294	9
286	4
286	1
277	5
295	8
290	7
272	2
277	8
290	10
293	1
277	10
282	3
290	7
281	3
277	5
""
""
286	4
277	4
 2723	 
296	9
277	2
277	7
272	1
272	3
""
277	6
272	5
290	10
209	8
282	3
295	8
272	5
281	5
290	10
 287	4 
291	10
291	10
296	9
294	9
277	10
722	4
282	4
""
272	1
289	1
288	6
287	4
288	6
272	3
281	3
""
29	69
218	5
209	10
291	7
27	71
282	4
288	6
284	6
277	4
272	6
282	4
286	4
""
277	2
281	3
290	7
272	1
294	9
289	1
286	4
""
272	3
277	5
""
282	4
 277	7 
272	2
291	10
282	4
272	3
""
290	10
282	4
272	6
296	9
""
""
2911	0
""
272	3
288	6
288	6
290	10
289	1
281	5
286	1
277	7
292	7
284	6
""
 286	4 
291	7
283	3
286	4
293	1
296	9
277	5
281	5
294	9
272	4
291	10
286	1
290	7
272	2
277	6
295	8
282	4
286	1
284	6
277	5
277	7
283	3
2833	
277	9
""
291	7
272	2
272	1
277	6
""
289	1
 277	2 
284	6
""
281	3
285	5
291	01
277	3
2771	0
 277	4 
277	3
277	10
287	4
291	10
272	5
""
286	1
272	4
272	3
285	5
296	9
""
286	4
 277	3 
281	2
272	4
290	7
292	7
277	7
294	9
272	6
277	4
272	6
281	5
2772	
289	1
277	1
284	6
290	8
290	8
277	1
 29	49 
277	2
""
277	10
277	1
2812	
277	10
293	1
 272	1 
277	5
286	1
277	8
27	73
277	9
284	6
272	1
290	7
293	1
277	8
288	6
287	4
277	1
 277	1 
281	3
285	5
293	1
277	4
2833	
286	1
281	2
289	1
296	9
277	7
277	1
 282	4 
277	2
291	7
282	4
272	1
293	1
281	5
2917	
 272	5 
289	1
291	7
272	3
""
291	10
272	1
291	10
282	4
284	6
296	9
282	3
282	4
 281	3 
277	7
286	4
 295	8 
293	1
289	1
291	7
286	4
282	3
282	4
